49.252	49.539
57.251	57.625
126.093	126.484
158.305	158.521
195.015	195.575
235.523	235.826
267.055	267.562
269.964	270.662
280.976	281.401
282.862	283.549
285.445	286.034
338.741	339.097
343.820	344.304
537.539	537.843
711.561	711.940
853.197	853.593
906.962	907.951
933.932	934.677
936.185	936.384
939.273	939.687
953.466	953.799
1008.567	1008.958
1011.603	1012.052
1048.198	1048.867
1071.702	1072.140
1075.266	1075.721
1102.585	1102.894
1196.684	1197.353
1302.247	1302.557
1315.750	1316.245
1323.615	1324.192
1355.467	1355.893
1413.407	1414.082
1437.144	1437.424
1587.359	1587.814
