17.940	18.186
38.472	38.689
67.921	68.202
130.127	130.959
141.981	142.279
176.254	176.621
179.226	179.634
260.885	261.612
262.864	263.307
268.013	268.259
268.472	268.851
276.918	277.471
291.918	292.959
314.366	314.606
316.508	317.207
338.068	338.586
340.796	341.111
341.202	341.709
361.886	362.149
362.275	363.020
364.190	364.645
370.930	371.158
371.284	371.831
372.027	372.307
372.410	372.795
374.581	375.076
377.751	377.933
378.198	378.507
381.094	381.503
388.217	388.869
394.266	394.744
410.978	411.323
428.475	428.662
428.765	429.092
429.804	430.561
441.199	441.613
453.076	453.722
462.741	463.156
464.053	464.549
469.173	469.599
482.821	483.171
496.219	496.447
517.970	518.332
530.068	530.366
532.245	532.537
539.112	539.497
540.029	540.304
556.010	556.465
568.050	568.412
569.623	569.886
573.443	573.729
576.635	576.875
583.410	583.615
598.520	598.731
598.839	599.236
782.126	782.395
783.844	784.154
823.980	824.203
827.016	827.262
868.777	869.052
1193.932	1194.265
1231.804	1232.276
1235.606	1236.107
1271.655	1271.959
1273.280	1273.590
1275.759	1276.104
1280.688	1280.916
1295.711	1295.928
1296.680	1297.205
1302.363	1302.650
1366.485	1366.725
1377.103	1377.296
1383.314	1383.629
1399.313	1399.808
1400.386	1400.777
1401.588	1401.898
1406.331	1406.489
1407.782	1408.028
1414.144	1414.698
1423.159	1423.620
1428.535	1428.856
1431.670	1432.101
1435.652	1436.205
1436.697	1437.018
1439.344	1439.595
1442.676	1442.846
1448.591	1449.266
1455.296	1455.971
1511.070	1511.281
1518.640	1519.135
1528.944	1529.457
1534.261	1534.594
1554.764	1555.213
1572.708	1573.029
1618.706	1618.935
1624.285	1624.577
