5.320	6.216
6.562	7.383
54.221	55.181
57.594	58.536
75.972	76.973
82.886	83.120
101.311	101.801
270.538	271.365
272.024	273.164
283.379	283.938
326.998	327.435
330.353	331.191
353.103	353.482
493.003	493.452
504.822	505.445
514.922	515.766
539.605	539.990
588.129	588.462
598.067	598.429
599.867	600.461
615.784	616.494
619.308	619.902
630.128	630.583
656.953	657.454
699.997	700.400
747.087	747.704
749.549	750.235
767.492	767.854
770.946	771.186
773.332	773.780
813.357	813.713
823.318	823.750
830.760	831.169
849.429	850.000
858.439	858.777
862.926	863.746
867.059	867.438
876.370	876.796
895.689	896.318
899.573	900.004
901.291	901.902
930.763	931.049
931.535	932.135
933.584	933.992
959.381	959.883
962.208	962.663
971.891	972.265
977.394	977.652
979.298	979.579
979.856	980.206
985.841	986.522
988.122	989.041
1028.507	1028.724
1086.348	1086.658
1107.583	1107.927
1113.724	1114.011
1114.990	1115.183
1128.841	1129.261
1184.870	1185.174
1186.891	1187.427
1219.875	1220.579
1227.398	1227.731
1240.384	1240.774
